split	class_name	path
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10008_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10010_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10020_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10043_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10061_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10064_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10124_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10130_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10146_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10148_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10151_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10197_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10202_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10205_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10215_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10243_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10265_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10275_airplane.png
train	airplane	/Users/pritishrv/Documents/Courseworks/NeuralComputing/archive (5)/cifar10/train/airplane/10297_airplane.png
